sortie,type,axis,t_start,t_end,duration_s,amplitudes
G017,doublet,pitch,13982696.3,13982703.3,7.0,19.99|3.74
G017,doublet,pitch,13982703.3,13982710.9,7.6,19.99|5.38
G017,step,pitch,13982710.9,13982714.7,3.8,19.99
G017,step,pitch,13982714.7,13982753.3,38.6,24.95
G017,step,roll,13982731.6,13982753.5,21.9,1.25
G017,step,pitch,13982757.0,13982760.5,3.5,24.86
G017,step,pitch,13982762.1,13982766.2,4.1,24.92
G017,step,pitch,13982766.2,13982784.3,18.1,19.99
G017,step,roll,13982856.3,13982860.6,4.3,20.52
G017,doublet,roll,13982873.9,13982885.8,11.9,21.27|21.84
G017,doublet,roll,13982886.7,13982894.1,7.4,20.63|21.22
G017,step,roll,13982899.0,13982902.6,3.6,21.4
G017,step,yaw,13983014.6,13983047.8,33.2,25.46
G017,step,roll,13983014.7,13983040.7,26.0,4.12
G017,step,yaw,13983047.8,13983121.4,73.6,27.41
G017,doublet,yaw,13983121.4,13983131.7,6.4,25.46|27.33
G017,step,yaw,13983131.7,13983135.6,3.9,25.46
G017,step,roll,13983741.6,13983771.9,30.3,0.82
G017,step,pitch,13984380.2,13984411.5,31.3,4.09
G017,step,pitch,13984411.5,13984420.7,9.2,23.36
G017,step,pitch,13984420.7,13984431.7,11.0,19.99
G017,step,pitch,13984431.7,13984440.9,9.2,23.35
G017,step,pitch,13984440.9,13984452.0,11.1,19.99
G017,step,pitch,13984452.0,13984461.2,9.2,23.34
G017,step,pitch,13984461.2,13984497.0,35.8,19.99
G017,step,roll,13984606.6,13984616.7,10.1,19.77
G017,step,roll,13984616.7,13984626.8,10.1,19.74
G017,step,roll,13984626.8,13984636.9,10.1,19.78
G017,step,roll,13984636.9,13984647.1,10.2,19.75
G017,step,roll,13984647.1,13984656.2,9.1,19.78
G017,step,roll,13984657.2,13984667.3,10.1,19.75
G017,step,yaw,13984834.8,13984844.0,9.2,10.92
G017,step,yaw,13984844.0,13984853.2,9.2,21.39
G017,step,yaw,13984855.0,13984864.2,9.2,10.88
G017,step,yaw,13984864.2,13984873.4,9.2,21.53
G017,step,yaw,13984873.4,13984884.5,11.1,10.87
G017,step,yaw,13984884.5,13984893.1,8.6,21.53
G017,step,roll,13985133.87,13985163.0,29.13,0.87
G019,step,pitch,20120152.6,20120160.3,7.7,24.79
G019,step,pitch,20120160.3,20120169.9,9.6,20.01
G019,step,pitch,20120171.8,20120177.6,5.8,24.77
G019,step,pitch,20120177.6,20120233.5,55.9,20.01
G019,step,pitch,20120233.5,20120246.9,13.4,3.25
G019,step,roll,20120237.3,20120246.9,9.6,20.65
G019,step,roll,20120251.8,20120260.4,8.6,19.63
G019,step,roll,20120271.0,20120280.6,9.6,20.58
G019,step,roll,20120284.5,20120291.6,7.1,19.77
G019,step,yaw,20120322.1,20120341.3,19.2,25.48
G019,step,yaw,20120341.3,20120372.1,30.8,27.29
G019,step,yaw,20120374.0,20120385.6,11.6,25.48
G019,step,pitch,20121009.7,20121017.4,7.7,23.46
G019,step,pitch,20121019.4,20121029.0,9.6,20.0
G019,step,pitch,20121029.0,20121038.6,9.6,23.48
G019,step,roll,20121136.9,20121146.5,9.6,19.96
G019,step,roll,20121146.5,20121157.1,10.6,19.73
G019,step,roll,20121157.1,20121165.8,8.7,19.94
G019,step,yaw,20121712.8,20121722.4,9.6,11.29
G019,step,yaw,20121722.4,20121732.1,9.7,23.28
G019,step,yaw,20121732.1,20121741.7,9.6,11.29
G021,step,pitch,22518316.9,22518325.4,8.5,3.71
G021,doublet,pitch,22518325.4,22518335.5,9.2,9.59|8.18
G021,step,pitch,22518336.5,22518345.0,8.5,9.34
G021,step,roll,22518673.2,22518683.0,9.8,1.81
G021,doublet,pitch,22518715.7,22518721.7,6.0,24.83|19.98
G021,step,pitch,22518721.7,22518730.2,8.5,24.82
G021,step,pitch,22518730.2,22518743.8,13.6,19.98
G021,step,pitch,22518743.8,22518755.7,11.9,24.82
G021,step,roll,22518793.5,22518800.8,7.3,20.65
G021,doublet,roll,22518800.8,22518811.8,11.0,19.71|20.58
G021,step,roll,22518811.8,22518815.2,3.4,19.83
G021,doublet,yaw,22518853.5,22518862.0,7.7,27.24|25.45
G021,step,yaw,22518862.0,22518866.2,4.2,27.24
G021,step,pitch,22519420.6,22519436.7,16.1,23.57
G021,step,pitch,22519437.6,22519458.8,21.2,19.99
G021,step,pitch,22519460.5,22519476.7,16.2,23.58
G021,step,yaw,22519647.6,22519668.0,20.4,11.51
G021,step,yaw,22519668.8,22519686.7,17.9,17.25
G021,step,yaw,22519687.5,22519707.9,20.4,11.5
G021,step,yaw,22519708.8,22519726.7,17.9,17.21
G022_2,step,yaw,25191735.2,25191739.1,3.9,0.85
G022_2,step,yaw,25192461.7,25192475.0,13.3,1.12
G022_2,step,yaw,25193328.98,25193332.2,3.22,0.83
G022_2,step,yaw,25193358.8,25193398.6,39.8,0.86
G022_3,step,yaw,25374403.5,25374421.8,18.3,11.52
G022_3,step,yaw,25374423.5,25374443.4,19.9,22.22
G022_3,step,yaw,25374443.4,25374463.3,19.9,11.5
G022_3,step,yaw,25374463.3,25374482.6,19.3,22.34
G022_3,step,yaw,25374876.7,25374896.6,19.9,21.23
G022_3,step,yaw,25375046.1,25375066.0,19.9,21.77
G022_3,step,yaw,25375066.0,25375085.8,19.8,24.81
G022_3,step,yaw,25375381.4,25375399.7,18.3,17.33
G022_3,step,yaw,25375584.0,25375602.3,18.3,23.22
G022_3,step,yaw,25375761.7,25375779.9,18.2,24.4
G022_4,step,yaw,25390533.8,25390551.1,17.3,24.47
G022_4,step,yaw,25390861.5,25390880.5,19.0,24.46
G022_4,step,yaw,25391038.3,25391055.7,17.4,24.46
G022_4,step,yaw,25391289.7,25391307.0,17.3,24.46
G022_4,step,yaw,25391471.7,25391489.1,17.4,24.45
G022_4,step,yaw,25392673.2,25392690.1,16.9,10.45
G022_4,step,yaw,25392690.1,25392734.6,44.5,1.76
G022_4,step,yaw,25392734.7,25392761.4,26.7,0.82
G022_4,step,yaw,25392761.9,25392777.2,15.3,0.81
G022_4,step,yaw,25392779.0,25392811.7,32.7,0.82
G022_4,step,yaw,25392812.5,25392819.2,6.7,0.81
G022_4,step,yaw,25392819.5,25392847.9,28.4,0.81
G022_4,step,yaw,25392976.6,25392995.7,19.1,24.52
G022_4,step,yaw,25393089.3,25393106.6,17.3,24.48
G022_4,step,yaw,25393108.4,25393127.4,19.0,24.93
G022_4,step,yaw,25393129.0,25393140.0,11.0,0.84
G022_4,step,yaw,25393142.0,25393146.3,4.3,1.22
G022,step,yaw,25129967.7,25129977.8,10.1,24.93
G022,step,yaw,25129978.0,25129996.6,18.6,23.71
G022,step,yaw,25129997.1,25130010.5,13.4,25.03
G022,step,yaw,25130010.7,25130028.4,17.7,23.64
G023,step,yaw,26166323.4,26166334.6,11.2,0.88
G023,step,yaw,26166335.6,26166388.3,52.7,1.02
G023,step,yaw,26166466.3,26166508.3,42.0,24.06
G023,step,yaw,26166508.3,26166518.0,9.7,25.26
